ano_trabajo,nivel_experiencia,tipo_contrato,titulo_trabajo,salario_usd,porcentaje_remoto,tamano_empresa
2021,Semi-Senior,Tiempo completo,Data Scientist,40038,100,L
2021,Semi-Senior,Tiempo completo,BI Data Analyst,36259,50,L
2020,Semi-Senior,Tiempo completo,Data Scientist,35735,50,L
2021,Semi-Senior,Tiempo completo,ML Engineer,77364,50,S
2022,Senior,Tiempo completo,Lead Machine Learning Engineer,95386,50,L
2021,Semi-Senior,Tiempo completo,ML Engineer,63711,50,S
2021,Senior,Tiempo completo,Data Science Manager,94665,50,L
2022,Junior,Tiempo completo,Data Scientist,17684,100,M
2022,Experto,Tiempo completo,Head of Machine Learning,76309,50,L
2022,Junior,Tiempo completo,Research Engineer,41809,50,L
2023,Semi-Senior,Tiempo completo,Head of Data Science,60805,50,L
2023,Junior,Tiempo completo,AI Programmer,60207,0,S
2021,Senior,Tiempo completo,Machine Learning Engineer,66265,0,L
2022,Senior,Tiempo completo,Lead Data Scientist,56723,0,L
2020,Junior,Tiempo completo,Data Engineer,41689,100,S
2022,Semi-Senior,Tiempo completo,Data Scientist,53416,100,L
2023,Junior,Tiempo completo,Applied Machine Learning Scientist,48644,100,L
2021,Senior,Tiempo completo,Data Scientist,54094,100,L
2021,Senior,Tiempo completo,Data Science Manager,54094,50,L
2023,Senior,Tiempo completo,Data Science Manager,43779,100,L
2024,Semi-Senior,Tiempo completo,Lead Data Analyst,39615,50,L
2023,Semi-Senior,Tiempo completo,Data Science Manager,38915,50,L
2023,Semi-Senior,Tiempo completo,Data Analytics Manager,38915,50,M
2023,Senior,Tiempo completo,Data Integration Specialist,36483,50,L
2022,Senior,Tiempo completo,Principal Data Architect,38154,100,L
2021,Senior,Tiempo completo,Lead Data Scientist,40570,50,L
2020,Semi-Senior,Tiempo completo,Data Scientist,40481,0,L
2022,Semi-Senior,Tiempo completo,Data Engineer,35610,50,L
2023,Semi-Senior,Tiempo completo,NLP Engineer,32834,100,M
2022,Semi-Senior,Tiempo completo,Data Scientist,31795,100,M
2021,Semi-Senior,Tiempo completo,Data Scientist,33808,0,M
2022,Semi-Senior,Tiempo completo,Data Scientist,30523,100,L
2024,Semi-Senior,Tiempo completo,Big Data Engineer,27611,100,L
2021,Junior,Tiempo completo,Data Engineer,30428,100,L
2021,Junior,Tiempo completo,Data Scientist,29751,50,L
2021,Junior,Tiempo completo,Data Scientist,28399,100,M
2023,Junior,Tiempo completo,AI Research Engineer,24322,100,L
2023,Semi-Senior,Tiempo completo,Machine Learning Software Engineer,24322,50,L
2022,Junior,Tiempo completo,Data Scientist,22892,50,M
2021,Senior,Tiempo completo,Machine Learning Engineer,24342,100,L
2023,Junior,Tiempo completo,Data Analyst,20673,50,L
2023,Semi-Senior,Tiempo completo,Applied Data Scientist,20673,100,L
2021,Semi-Senior,Tiempo completo,Big Data Engineer,22611,0,L
2022,Semi-Senior,Tiempo completo,Machine Learning Engineer,20984,50,L
2021,Junior,Tiempo completo,Data Engineer,21637,50,M
2023,Semi-Senior,Tiempo completo,Lead Data Analyst,18241,50,L
2021,Semi-Senior,Tiempo completo,Lead Data Analyst,19609,100,L
2023,Semi-Senior,Tiempo completo,Data Analytics Lead,17511,50,M
